normal_text,simpChatGPT,simpGemini
"ਇਸ ਸੂਬੇ ਨੂੰ ਵੱਖਰਾ ਦੇਸ਼ ਐਲਾਨਣ ਲਈ ਜਨਮਤ ਸੰਗ੍ਰਹਿ ਦੇ ਇਜ਼ਰਾਈਲ ਚ ਮੁੜ ਖੂਨੀ ਖੇਡ","ਇੱਕ ਸੂਬੇ ਨੂੰ ਵੱਖਰਾ ਦੇਸ਼ ਬਣਾਉਣ ਲਈ ਜਨਮਤ ਸੰਗ੍ਰਹਿ, ਇਜ਼ਰਾਈਲ ਵਿੱਚ ਮੁੜ ਹਿੰਸਾ","ਵੱਖਰਾ ਦੇਸ਼ ਬਣਾਉਣ ਲਈ ਵੋਟਾਂ ਅਤੇ ਇਜ਼ਰਾਈਲ ਵਿੱਚ ਫਿਰ ਹਿੰਸਾ ਸ਼ੁਰੂ।"
"ਫਲਸਤੀਨੀ ਹਮਲਾਵਰ ਨੇ ਲੋਕਾਂ ਤੇ ਚੜ੍ਹਾਈ ਕਾਰ ਫਿਰ ਜਪਾਨ ਚ ਭਿਆਨਕ ਸੜਕ ਹਾਦਸਾ","ਫ਼ਲਸਤੀਨੀ ਹਮਲਾਵਰ ਨੇ ਲੋਕਾਂ ‘ਤੇ ਕਾਰ ਚੜ੍ਹਾਈ, ਜਪਾਨ ਵਿੱਚ ਭਿਆਨਕ ਸੜਕ ਹਾਦਸਾ","ਫਲਸਤੀਨੀ ਹਮਲਾਵਰ ਨੇ ਲੋਕਾਂ 'ਤੇ ਕਾਰ ਚੜ੍ਹਾਈ ਅਤੇ ਜਪਾਨ ਵਿੱਚ ਵੱਡਾ ਸੜਕ ਹਾਦਸਾ ਹੋਇਆ।"
"ਧੁੰਦ ਦੇ ਇਸ ਕਹਿਰ ਕਾਰਨ ਨਾ ਸਿਰਫ਼ ਸੜਕੀ ਆਵਾਜਾਈ ਬੁਰੀ ਤਰ੍ਹਾਂ ਪ੍ਰਭਾਵਿਤ ਹੋਈ ਸਗੋਂ ਕਈ ਰੇਲ ਗੱਡੀਆਂ ਵੀ ਆਪਣੇ ਨਿਰਧਾਰਿਤ ਸਮੇਂ ਤੋਂ ਦੇਰ ਨਾਲ ਚੱਲੀਆਂ","ਧੁੰਦ ਕਾਰਨ ਸੜਕੀ ਆਵਾਜਾਈ ਪ੍ਰਭਾਵਿਤ, ਕਈ ਰੇਲਗੱਡੀਆਂ ਦੇਰ ਨਾਲ ਚੱਲੀਆਂ","ਧੁੰਦ ਕਾਰਨ ਸੜਕੀ ਆਵਾਜਾਈ ਅਤੇ ਰੇਲ ਗੱਡੀਆਂ ਲੇਟ ਹੋ ਗਈਆਂ ਹਨ।"
"ਇਹ ਵੀ ਪੜ੍ਹੋ ਜਥੇਦਾਰ ਗੜਗੱਜ ਦਾ ਵੱਡਾ ਬਿਆਨ","ਇਹ ਵੀ ਪੜ੍ਹੋ: ਜਥੇਦਾਰ ਗੜਗੱਜ ਦਾ ਵੱਡਾ ਬਿਆਨ","ਜਥੇਦਾਰ ਗੜਗੱਜ ਦਾ ਬਿਆਨ ਪੜ੍ਹੋ।"
"ਦੱਸਣਯੋਗ ਹੈ ਕਿ ਮੌਸਮ ਵਿਭਾਗ ਵੱਲੋਂ ਪਹਿਲਾਂ ਹੀ ਇਸ ਖੇਤਰ ਲਈ ਆਰੇਂਜ ਅਲਰਟ ਜਾਰੀ ਕੀਤਾ ਗਿਆ ਸੀ","ਮੌਸਮ ਵਿਭਾਗ ਨੇ ਪਹਿਲਾਂ ਹੀ ਇਸ ਖੇਤਰ ਲਈ ਆਰੇਂਜ ਅਲਰਟ ਜਾਰੀ ਕੀਤਾ ਸੀ","ਮੌਸਮ ਵਿਭਾਗ ਨੇ ਪਹਿਲਾਂ ਹੀ ਇੱਥੇ ਆਰੇਂਜ ਅਲਰਟ ਜਾਰੀ ਕੀਤਾ ਸੀ।"
"ਵਿਭਾਗ ਦੇ ਅਨੁਸਾਰ ਆਉਣ ਵਾਲੇ ਤਿੰਨ ਦਿਨਾਂ ਦੌਰਾਨ ਵੀ ਲੋਕਾਂ ਨੂੰ ਇਸੇ ਤਰ੍ਹਾਂ ਦੀ ਸੁੱਕੀ ਠੰਢ ਦਾ ਸਾਹਮਣਾ ਕਰਨਾ ਪੈ ਸਕਦਾ ਹੈ","ਮੌਸਮ ਵਿਭਾਗ ਅਨੁਸਾਰ ਅਗਲੇ ਤਿੰਨ ਦਿਨਾਂ ਤੱਕ ਸੁੱਕੀ ਠੰਢ ਰਹਿ ਸਕਦੀ ਹੈ","ਮੌਸਮ ਵਿਭਾਗ ਮੁਤਾਬਕ ਅਗਲੇ ਤਿੰਨ ਦਿਨ ਸੁੱਕੀ ਠੰਢ ਜਾਰੀ ਰਹੇਗੀ।"
"ਹਾਲਾਂਕਿ ਤੋਂ ਬਾਅਦ ਕੋਹਰੇ ਦੇ ਦਿਨਾਂ ਅਤੇ ਤੀਬਰਤਾ ਵਿਚ ਲਗਾਤਾਰ ਗਿਰਾਵਟ ਆਈ ਹੈ","ਇਸ ਤੋਂ ਬਾਅਦ ਕੋਹਰੇ ਦੇ ਦਿਨ ਅਤੇ ਤੀਬਰਤਾ ਘਟ ਗਈ ਹੈ","ਹੁਣ ਕੋਹਰੇ ਦੇ ਦਿਨਾਂ ਅਤੇ ਅਸਰ ਵਿੱਚ ਕਮੀ ਆਈ ਹੈ।"
"ਤੋਂ ਦੌਰਾਨ ਸਰਦੀਆਂ ਵਿਚ ਸਿਰਫ਼ ਤੋਂ ਦਿਨਾਂ ਤੱਕ ਹੀ ਕੋਹਰਾ ਪੈਣ ਦੀ ਪੁਸ਼ਟੀ ਹੋਈ ਹੈ","ਸਰਦੀਆਂ ਵਿੱਚ ਹੁਣ ਸਿਰਫ਼ ਕੁਝ ਦਿਨਾਂ ਲਈ ਹੀ ਕੋਹਰਾ ਪੈਂਦਾ ਹੈ","ਸਰਦੀਆਂ ਵਿੱਚ ਸਿਰਫ਼ ਕੁਝ ਦਿਨ ਹੀ ਕੋਹਰਾ ਪੈਣ ਦੀ ਪੁਸ਼ਟੀ ਹੋਈ ਹੈ।"
"ਮਾਹਿਰਾਂ ਅਨੁਸਾਰ ਇਸ ਦਾ ਮੁੱਖ ਕਾਰਨ ਖੇਤਰੀ ਜਲਵਾਯੂ ਤਪਸ਼ ਸ਼ਹਿਰੀਕਰਨ ਦਾ ਵਿਸਥਾਰ ਅਤੇ ਸਰਦੀਆਂ ਦੇ ਘੱਟੋ ਘੱਟ ਤਾਪਮਾਨ ਵਿੱਚ ਵਾਧਾ ਹੈ","ਮਾਹਿਰਾਂ ਅਨੁਸਾਰ ਕਾਰਨ ਹਨ ਜਲਵਾਯੂ ਤਪਸ਼, ਸ਼ਹਿਰੀਕਰਨ ਅਤੇ ਤਾਪਮਾਨ ਵਾਧਾ","ਇਸ ਦਾ ਕਾਰਨ ਜਲਵਾਯੂ ਪਰਿਵਰਤਨ, ਸ਼ਹਿਰੀਕਰਨ ਅਤੇ ਤਾਪਮਾਨ ਵਧਣਾ ਹੈ।"
"ਕਾਰਵਾਈ ਦੌਰਾਨ ਪੁਲਸ ਅਤੇ ਨਿਗਮ ਦੇ ਸੀਨੀਅਰ ਅਧਿਕਾਰੀ ਮੌਕੇ ਤੇ ਮੌਜੂਦ ਰਹੇ","ਕਾਰਵਾਈ ਦੌਰਾਨ ਪੁਲਸ ਅਤੇ ਨਿਗਮ ਦੇ ਸੀਨੀਅਰ ਅਧਿਕਾਰੀ ਮੌਜੂਦ ਸਨ","ਕਾਰਵਾਈ ਸਮੇਂ ਪੁਲਸ ਅਤੇ ਨਿਗਮ ਦੇ ਅਧਿਕਾਰੀ ਮੌਕੇ 'ਤੇ ਮੌਜੂਦ ਸਨ।"
"ਏ ਸੀ ਪੀ ਇੰਦਰਜੀਤ ਸਿੰਘ ਬੋਪਾਰਾਏ ਅਤੇ ਐੱਸ ਐੱਚ ਓ ਭੁਪਿੰਦਰ ਸਿੰਘ ਨੇ ਪੁਲਸ ਫੋਰਸ ਨਾਲ ਸੁਰੱਖਿਆ ਘੇਰਾ ਸੰਭਾਲਿਆ","ਏਸੀਪੀ ਇੰਦਰਜੀਤ ਸਿੰਘ ਬੋਪਾਰਾਏ ਅਤੇ ਐੱਸਐੱਚਓ ਭੁਪਿੰਦਰ ਸਿੰਘ ਨੇ ਸੁਰੱਖਿਆ ਸੰਭਾਲੀ","ਏ.ਸੀ.ਪੀ. ਅਤੇ ਐੱਸ.ਐੱਚ.ਓ. ਨੇ ਪੁਲਸ ਨਾਲ ਸੁਰੱਖਿਆ ਸੰਭਾਲੀ।"
"ਜਦੋਂਕਿ ਨਗਰ ਨਿਗਮ ਵਲੋਂ ਇੰਸਪੈਕਟਰ ਸੋਨੀ ਅਤੇ ਏ ਟੀ ਪੀ ਨੇ ਟੀਮ ਦੀ ਅਗਵਾਈ ਕੀਤੀ","ਨਗਰ ਨਿਗਮ ਵੱਲੋਂ ਇੰਸਪੈਕਟਰ ਸੋਨੀ ਅਤੇ ਏਟੀਪੀ ਨੇ ਟੀਮ ਦੀ ਅਗਵਾਈ ਕੀਤੀ","ਨਗਰ ਨਿਗਮ ਦੀ ਟੀਮ ਦੀ ਅਗਵਾਈ ਇੰਸਪੈਕਟਰ ਸੋਨੀ ਅਤੇ ਏ.ਟੀ.ਪੀ. ਨੇ ਕੀਤੀ।"
"ਦੋਵੇਂ ਵਿਭਾਗਾਂ ਦੀ ਅਗਵਾਈ ਚ ਭੰਨ ਤੋੜ ਦੀ ਪੂਰੀ ਕਾਰਵਾਈ ਸ਼ਾਂਤਮਈ ਤਰੀਕੇ ਨਾਲ ਪੂਰੀ ਕੀਤੀ ਗਈ","ਦੋਵੇਂ ਵਿਭਾਗਾਂ ਨੇ ਭੰਨ-ਤੋੜ ਦੀ ਕਾਰਵਾਈ ਸ਼ਾਂਤਮਈ ਤਰੀਕੇ ਨਾਲ ਪੂਰੀ ਕੀਤੀ","ਦੋਵਾਂ ਵਿਭਾਗਾਂ ਨੇ ਭੰਨ-ਤੋੜ ਦੀ ਕਾਰਵਾਈ ਸ਼ਾਂਤੀ ਨਾਲ ਪੂਰੀ ਕੀਤੀ।"
"ਹਿਨਾ ਅਤੇ ਉਸ ਦੇ ਪਰਿਵਾਰ ਖਿਲਾਫ ਨਸ਼ਾ ਸਮੱਗ ਲਿੰਗ ਨਾਲ ਜੁੜੇ ਕਈ ਕੇਸ ਦਰਜ ਹਨ","ਹਿਨਾ ਅਤੇ ਉਸ ਦੇ ਪਰਿਵਾਰ ਖਿਲਾਫ ਨਸ਼ੇ ਨਾਲ ਸਬੰਧਤ ਕਈ ਕੇਸ ਹਨ","ਹਿਨਾ ਅਤੇ ਉਸਦੇ ਪਰਿਵਾਰ 'ਤੇ ਨਸ਼ਾ ਤਸਕਰੀ ਦੇ ਕਈ ਕੇਸ ਦਰਜ ਹਨ।"
"ਜਾਣਕਾਰੀ ਮੁਤਾਬਿਕ ਵਿਚ ਗ੍ਰਾਮ ਹੈਰੋਇਨ ਬਰਾਮਦਗੀ ਦਾ ਕੇਸ ਮੁਕੱਦਮਾ ਨੰਬਰ ਵਿਚ ਕਿਲੋ ਗ੍ਰਾਮ ਹੈਰੋਇਨ ਬਰਾਮਦਗੀ ਮੁਕੱਦਮਾ ਨੰਬਰ ਮੁਕੱਦਮਾ ਨੰ ਤਹਿਤ ਕੇਸ ਦਰਜ ਹਨ","ਜਾਣਕਾਰੀ ਅਨੁਸਾਰ ਹੈਰੋਇਨ ਬਰਾਮਦਗੀ ਦੇ ਕਈ ਕੇਸ ਦਰਜ ਹਨ","ਉਹਨਾਂ 'ਤੇ ਹੈਰੋਇਨ ਬਰਾਮਦਗੀ ਦੇ ਵੱਖ-ਵੱਖ ਮੁਕੱਦਮੇ ਦਰਜ ਹਨ।"
"ਤਿੰਨੋਂ ਮਾਮਲੇ ਐੱਨ ਡੀ ਪੀ ਐੱਸ ਐਕਟ ਤਹਿਤ ਦਰਜ ਹਨ ਅਤੇ ਇਨ੍ਹਾਂ ਹੀ ਮਾਮਲਿਆਂ ਨੂੰ ਆਧਾਰ ਬਣਾ ਕੇ ਪ੍ਰਸ਼ਾਸਨ ਨੇ ਅਦਾਲਤ ਤੋਂ ਆਗਿਆ ਲੈ ਕੇ ਕਾਰਵਾਈ ਨੂੰ ਅੰਜਾਮ ਦਿੱਤਾ","ਤਿੰਨੋ ਮਾਮਲੇ ਐਨਡੀਪੀਐੱਸ ਐਕਟ ਤਹਿਤ ਦਰਜ ਹਨ","ਪ੍ਰਸ਼ਾਸਨ ਨੇ ਅਦਾਲਤ ਦੀ ਮਨਜ਼ੂਰੀ ਨਾਲ ਐੱਨ.ਡੀ.ਪੀ.ਐੱਸ. ਕੇਸਾਂ ਦੇ ਆਧਾਰ 'ਤੇ ਕਾਰਵਾਈ ਕੀਤੀ।"
"ਅਧਿਕਾਰੀਆਂ ਮੁਤਾਬਕ ਨਸ਼ੇ ਖਿਲਾਫ ਇਹ ਮੁਹਿੰਮ ਅੱਗੇ ਵੀ ਜਾਰੀ ਰਹੇਗੀ ਅਤੇ ਅਜਿਹੇ ਮਾਮਲਿਆਂ ਵਿਚ ਦੋਸ਼ੀਆਂ ਖਿਲਾਫ ਸਖ਼ਤ ਅਤੇ ਅਸਰਦਾਰ ਕਦਮ ਚੁੱਕੇ ਜਾਣਗੇ","ਅਧਿਕਾਰੀਆਂ ਮੁਤਾਬਕ ਨਸ਼ੇ ਖਿਲਾਫ ਮੁਹਿੰਮ ਜਾਰੀ ਰਹੇਗੀ","ਅਧਿਕਾਰੀਆਂ ਨੇ ਕਿਹਾ ਕਿ ਨਸ਼ੇ ਖਿਲਾਫ ਸਖਤ ਕਾਰਵਾਈ ਜਾਰੀ ਰਹੇਗੀ।"
"ਇਸ ਤੋਂ ਇਲਾਵਾ ਕਾਰਾਂ ਚ ਗੂੜ੍ਹੀ ਰੰਗੀਨ ਫਿਲਮ ਲਗਾਉਣਾ ਵੀ ਕਾਨੂੰਨ ਅਪਰਾਧ ਹੈ ਕਿਉਂਕਿ ਇਸ ਨਾਲ ਸ਼ੀਸ਼ਾ ਕਾਲਾ ਹੋ ਜਾਂਦਾ ਹੈ","ਕਾਰਾਂ ‘ਚ ਗੂੜ੍ਹੀ ਕਾਲੀ ਫਿਲਮ ਲਗਾਉਣਾ ਕਾਨੂੰਨੀ ਅਪਰਾਧ ਹੈ","ਕਾਰਾਂ ਦੇ ਸ਼ੀਸ਼ਿਆਂ 'ਤੇ ਕਾਲੀ ਫਿਲਮ ਲਗਾਉਣਾ ਕਾਨੂੰਨੀ ਜੁਰਮ ਹੈ।"
"ਕੋਰੋਨਾ ਨੇ ਸੰਸਾਰ ਦੀ ਆਰਥਿਕਤਾ ਨੂੰ ਤਬਾਹ ਕਰ ਦਿੱਤਾ","ਕੋਰੋਨਾ ਨੇ ਦੁਨੀਆ ਦੀ ਅਰਥਵਿਵਸਥਾ ਨੂੰ ਨੁਕਸਾਨ ਪਹੁੰਚਾਇਆ","ਕੋਰੋਨਾ ਨੇ ਦੁਨੀਆ ਦਾ ਕਾਰੋਬਾਰ ਬਰਬਾਦ ਕਰ ਦਿੱਤਾ।"
